period,market_id,temperature_c,temperature_min_c,temperature_max_c,observation_days,interest_index,below_one_share,source_resolution,label,country_iso2,country_iso3,scope,trends_geo,weather_source,latitude,longitude,timezone,hemisphere,climate_profile,analysis_role,year,month,month_name,interest_zscore,interest_scaled,temperature_climatology_c,interest_climatology,temperature_anomaly_c,interest_anomaly
2023-01-01,moscow,-6.206451612903226,-8.506451612903225,-3.745161290322581,31,39.064516129032256,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2023,1,Jan,-0.49413955472256504,0.19597396135666306,-6.683870967741936,37.03225806451613,0.4774193548387098,2.032258064516128
2023-02-01,moscow,-5.507142857142857,-8.1,-3.3535714285714286,28,36.857142857142854,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2023,2,Feb,-0.6448426096392642,0.1534153507161219,-6.481133004926109,36.90886699507389,0.973990147783252,-0.05172413793103914
2023-03-01,moscow,-1.1903225806451612,-5.080645161290323,2.129032258064516,31,42.0,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2023,3,Mar,-0.29372651509430325,0.2525706940874036,-1.3748387096774195,38.49677419354839,0.18451612903225834,3.50322580645161
2023-04-01,moscow,8.02,2.316666666666667,13.216666666666669,30,48.766666666666666,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2023,4,Apr,0.16825123522827942,0.38303341902313626,6.943333333333333,46.82,1.0766666666666662,1.9466666666666654
2023-05-01,moscow,12.23225806451613,6.638709677419355,16.774193548387096,31,58.96774193548387,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2023,5,May,0.8647049007789457,0.5797122481134422,11.931612903225806,61.038709677419355,0.3006451612903227,-2.0709677419354833
2023-06-01,moscow,16.736666666666668,11.1,21.353333333333335,30,69.0,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2023,6,Jun,1.549632981266741,0.7731362467866324,18.208000000000006,74.26666666666667,-1.4713333333333374,-5.266666666666666
2023-07-01,moscow,18.212903225806453,14.193548387096774,21.816129032258065,31,61.064516129032256,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2023,7,Jul,1.0078570719419895,0.6201384857782569,20.901290322580643,70.38064516129032,-2.688387096774189,-9.316129032258061
2023-08-01,moscow,19.229032258064517,14.816129032258065,23.13225806451613,31,56.41935483870968,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2023,8,Aug,0.6907199542884769,0.5305788207977445,19.31225806451613,49.70967741935483,-0.08322580645161182,6.709677419354847
2023-09-01,moscow,14.783333333333331,10.246666666666666,19.25,30,40.93333333333333,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2023,9,Sep,-0.3665505939628879,0.23200514138817477,13.171333333333333,38.22,1.6119999999999983,2.713333333333331
2023-10-01,moscow,5.354838709677419,3.0354838709677416,7.638709677419355,31,32.61290322580645,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2023,10,Oct,-0.9346077736857776,0.07158553777261793,6.501935483870968,34.30322580645161,-1.1470967741935487,-1.6903225806451587
2023-11-01,moscow,0.1633333333333332,-1.97,2.19,30,34.833333333333336,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2023,11,Nov,-0.783013294992605,0.11439588688946023,0.8526666666666667,34.96,-0.6893333333333335,-0.12666666666666515
2023-12-01,moscow,-5.84516129032258,-8.03225806451613,-4.0,31,32.354838709677416,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2023,12,Dec,-0.9522265024443061,0.06661000082925612,-4.844516129032258,33.490322580645156,-1.000645161290322,-1.1354838709677395
2024-01-01,moscow,-12.138709677419357,-15.577419354838709,-8.77741935483871,31,35.0,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2024,1,Jan,-0.7716345326693888,0.11760925449871468,-6.683870967741936,37.03225806451613,-5.4548387096774205,-2.032258064516128
2024-02-01,moscow,-6.041379310344827,-8.427586206896551,-3.7517241379310344,29,37.758620689655174,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2024,2,Feb,-0.5832963976644289,0.17079602872085814,-6.481133004926109,36.90886699507389,0.4397536945812819,0.8497536945812811
2024-03-01,moscow,-1.3387096774193548,-5.300000000000001,2.6548387096774193,31,37.096774193548384,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2024,3,Mar,-0.628482361506345,0.1580354921635293,-1.3748387096774195,38.49677419354839,0.03612903225806474,-1.4000000000000057
2024-04-01,moscow,9.373333333333331,4.3133333333333335,14.133333333333333,30,45.733333333333334,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2024,4,Apr,-0.03884223905425753,0.3245501285347044,6.943333333333333,46.82,2.429999999999998,-1.086666666666666
